"WEBSITE","YEAR","PAGE PATH","PAGE URL","PAGE VIEWS","UNIQUE VIEWS","AVERAGE TIME ON PAGE (SECONDS)","ENTRANCES","BOUNCE RATE (%)","EXIT RATE (%)"
"budget.brla.gov","2025","/","http://budget.brla.gov/","18,916","17,117","13.73","18,859","1.00","1.00"
"checkbook.brla.gov","2025","/","http://checkbook.brla.gov/","14,766","12,274","32.53","14,766","1.00","1.00"
"city.brla.gov","2025","/traffic/incidents.asp","http://city.brla.gov/traffic/incidents.asp","57,831,134","1,380,750","1.15","57,775,358","1.00","1.00"
"city.brla.gov","2025","/gis/propertylookup.asp","http://city.brla.gov/gis/propertylookup.asp","2,286,837","736,720","9.91","2,164,252","0.29","0.43"
"city.brla.gov","2025","/dept/citycourt/warrants/","http://city.brla.gov/dept/citycourt/warrants/","1,944,790","869,744","13.65","774,869","0.30","0.59"
"city.brla.gov","2025","/gis/propertydetail.asp","http://city.brla.gov/gis/propertydetail.asp","1,118,560","566,919","32.38","223,594","0.24","0.50"
"city.brla.gov","2025","/gis/jurisdictionlookup.asp","http://city.brla.gov/gis/jurisdictionlookup.asp","600,631","205,437","24.45","581,326","0.72","0.79"
"city.brla.gov","2025","/dept/purchase/purfops.asp","http://city.brla.gov/dept/purchase/purfops.asp","524,601","499,255","4.92","508,220","0.95","0.97"
"city.brla.gov","2025","/dept/hr/occdesc.asp","http://city.brla.gov/dept/hr/occdesc.asp","309,873","203,279","22.02","178,802","0.37","0.66"
"city.brla.gov","2025","/gis/salestaxlookup.asp","http://city.brla.gov/gis/salestaxlookup.asp","209,869","65,449","9.26","185,655","0.95","0.99"
"city.brla.gov","2025","/dept/citycourt/warrants/detail.asp","http://city.brla.gov/dept/citycourt/warrants/detail.asp","157,195","70,493","32.27","10,826","0.18","0.38"
"city.brla.gov","2025","/gis/councillookup.asp","http://city.brla.gov/gis/councillookup.asp","151,334","44,461","10.50","147,699","0.96","0.98"
"city.brla.gov","2025","/dept/purchase/bids.asp","http://city.brla.gov/dept/purchase/bids.asp","122,972","97,664","22.40","106,124","0.47","0.83"
"city.brla.gov","2025","/dept/hr/getrange.asp","http://city.brla.gov/dept/hr/getrange.asp","105,882","49,820","39.71","21,993","0.27","0.60"
"city.brla.gov","2025","/dept/purchase/bidresults.asp","http://city.brla.gov/dept/purchase/bidresults.asp","101,103","74,767","36.18","74,010","0.71","0.90"
"city.brla.gov","2025","/dept/hr/joblistall.asp","http://city.brla.gov/dept/hr/joblistall.asp","90,065","68,880","30.13","73,827","0.31","0.35"
